;Method;Time_Window;Driver;Impostors;Method_Parameters;PORC_FAR;Min_Time_Detection(s);Average_Time_Detection(s);Max_Time_Detection(s);Standard_deviation(s);%_FRR;Min_Time_Detection(s);Average_Time_Detection(s);Max_Time_Detection(s);Standard_deviation(s);Number_clusters
0;EE;10;D;['A', 'B', 'C', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};93.43;10;171.3225806;9579;665.929095;0.08;686;887.6666667;1269;330.4275009;5
0;EE;10;D;['A', 'B', 'C', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};92.22;10;208.7238606;5563;618.9446241;0.34;45;271.9;883;245.4607685;10
0;EE;10;D;['A', 'B', 'C', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};87.12;10;86.77016575;2684;251.6176826;0.45;31;211;771;226.2903739;30
0;EE;30;D;['A', 'B', 'C', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.13;30;1086.733333;11989;2171.592835;0.04;810;1335.5;1861;743.169227;1
0;EE;30;D;['A', 'B', 'C', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};98.61;30;1081.186667;9496;1617.806746;0.19;125;463.8333333;973;287.6403426;3
0;EE;30;D;['A', 'B', 'C', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};97.52;30;598.6277372;5802;971.3523169;0.27;79;354.875;711;229.7174895;5
0;EE;30;D;['A', 'B', 'C', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};92.44;30;316.8521401;4238;677.2908014;0.99;41;128.5384615;365;93.92006421;10
0;EE;30;D;['A', 'B', 'C', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};86.76;30;90.65808171;2303;182.361042;4.9;30;49.71666667;101;16.66737534;30
0;EE;3;E;['A', 'B', 'C', 'D', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.97;5;8585.1;46870;14581.64248;0.18;15;422.75;909;460.543429;1
0;EE;3;E;['A', 'B', 'C', 'D', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.85;3;1650.519231;14319;2666.594336;0.24;7;338.4;723;293.8006127;3
0;EE;3;E;['A', 'B', 'C', 'D', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.9;3;1533.642857;9727;2231.390471;0.18;58;422.75;1144;500.9892713;5
0;EE;3;E;['A', 'B', 'C', 'D', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.56;3;579.5743243;5206;1021.805006;0.36;58;242;723;249.6364023;10
0;EE;3;E;['A', 'B', 'C', 'D', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};90.06;3;39.94111874;2026;144.3499997;1.19;7;81.33333333;214;60.36831398;30
