;Method;Time_Window;Driver;Impostors;Method_Parameters;PORC_FAR;Min_Time_Detection_s;Average_Time_Detection_s;Max_Time_Detection_s;Standard_deviation_s;PORC_FRR;Min_Time_Detection_s;Average_Time_Detection_s;Max_Time_Detection_s;Standard_deviation_s;Number_clusters
0;IF;30;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};15.31;30;40.78155774;1405;61.4919692;13.54;30;36.42168675;73;7.537575339;5
0;IF;30;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};19.55;30;33.0186469;346;8.279759097;21.33;30;33.72995781;54;4.20084601;10
0;IF;30;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};13.73;30;34.15189873;346;13.44289457;16.21;30;35.09183673;55;4.922135736;10
0;IF;30;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};10.83;30;36.76313595;553;22.21327662;12.98;30;36.29411765;70;6.957731266;10
0;IF;30;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};11.89;30;39.30342742;542;31.54577454;12;30;37.30463576;60;6.916640203;10
0;IF;30;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};7.9;30;33.00058893;247;8.201247423;24.35;30;33.03745318;48;3.219784626;30
0;IF;30;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};6.06;30;32.96200608;180;7.420560293;19.09;30;34.0349345;55;4.440503628;30
0;IF;30;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};4.78;30;34.26794872;180;10.32756191;17.47;30;34.70873786;58;4.999767932;30
0;IF;30;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};6.27;30;36.87719298;291;17.07728039;15.02;30;35.65384615;62;6.219374606;30
0;IF;3;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};70.74;3;15.02895273;1063;37.570026;17.97;3;7.55;43;4.904375839;1
0;IF;3;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};67.25;3;19.20961659;1336;61.05967002;14.62;3;8.795665635;43;6.674907572;1
0;IF;3;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};65.63;3;17.80804496;2137;60.27820713;15.32;3;8.440828402;39;6.075029537;1
0;IF;3;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};66.62;3;21.98931466;2473;83.07627689;13.15;3;9.62116041;43;6.93288491;1
0;IF;3;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};39.7;3;10.88293487;460;22.37343691;16.41;3;7.936464088;35;5.397634312;3
0;IF;3;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};38.98;3;12.71867612;1147;35.26497505;15.4;3;8.454005935;43;6.132353965;3
0;IF;3;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};37.21;3;14.08536099;1114;37.14355863;15.64;3;8.286956522;34;5.80161147;3
0;IF;3;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};42.88;3;13.91604096;1464;45.03450119;15.13;3;8.592145015;35;5.995437552;3
0;IF;3;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};51.71;3;9.811502783;657;18.7344665;15.64;3;8.455357143;40;5.872102107;5
0;IF;3;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};43.47;3;10.30549038;1996;34.43752017;13.89;3;8.91875;40;6.124079484;5
0;IF;3;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};42.63;3;11.20769231;1095;28.71325736;14.62;3;8.733128834;40;5.761351927;5
0;IF;3;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};48.19;3;12.42838161;1996;40.44236863;13.42;3;9.370860927;45;6.430942532;5
0;IF;3;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};57;3;8.438956715;280;12.87476442;18.28;3;7.414948454;35;5.063981668;10
0;IF;3;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};54.72;3;9.452918548;240;14.21499767;15.01;3;8.785714286;35;6.183641943;10
0;IF;3;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};51.95;3;10.09665072;265;15.6761113;15.48;3;8.525525526;36;5.804815469;10
